,Intercept,group,lower,upper
E07000189,0.45405671982748746,E07000189,-0.8364787678456094,1.7445922075005842
E06000049,0.4721294869100799,E06000049,-0.818406000763017,1.7626649745831766
E09000001,0.4727524839690716,E09000001,-0.8177830037040252,1.7632879716421683
E07000080,0.47530905437529647,E07000080,-0.8152264332978003,1.7658445420483933
E07000077,0.4767078403292524,E07000077,-0.8138276473438444,1.7672433280023492
E06000052,0.4879521559601687,E06000052,-0.8025833317129281,1.7784876436332655
E07000152,0.4964632163765595,E07000152,-0.7940722712965373,1.7869987040496562
E07000218,0.4967862785813853,E07000218,-0.7937492090917115,1.787321766254482
E07000144,0.50358381379115,E07000144,-0.7869516738819468,1.7941193014642467
E07000242,0.5093800160014599,E07000242,-0.7811554716716369,1.7999155036745567
E07000141,0.5153761462754906,E07000141,-0.7751593413976062,1.8059116339485874
E07000245,0.5202875633126138,E07000245,-0.770247924360483,1.8108230509857106
E06000047,0.5595715844799959,E06000047,-0.7309639031931009,1.8501070721530928
W06000005,0.5605446669185767,W06000005,-0.72999082075452,1.8510801545916735
E07000143,0.566901625754805,E07000143,-0.7236338619182918,1.8574371134279017
E07000046,0.608012260761278,E07000046,-0.6825232269118188,1.8985477484343747
E07000133,0.6125886770179512,E07000133,-0.6779468106551456,1.903124164691048
E06000011,0.6445224848769754,E06000011,-0.6460130027961214,1.935057972550072
E07000124,0.650123464180441,E07000124,-0.6404120234926558,1.9406589518535378
E07000200,0.651915573012809,E07000200,-0.6386199146602878,1.9424510606859058
E07000074,0.6532757480357245,E07000074,-0.6372597396373723,1.9438112357088213
E07000221,0.6591312742477612,E07000221,-0.6314042134253356,1.949666761920858
E07000169,0.6596662379397463,E07000169,-0.6308692497333505,1.950201725612843
E07000044,0.6668233254061028,E07000044,-0.623712162266994,1.9573588130791997
E07000235,0.6752835084695887,E07000235,-0.615251979203508,1.9658189961426855
E07000196,0.6755041982206286,E07000196,-0.6150312894524682,1.9660396858937252
E07000140,0.6787440731029035,E07000140,-0.6117914145701933,1.9692795607760003
E06000064,0.6963187659136529,E06000064,-0.5942167217594438,1.9868542535867497
E07000165,0.6971339265668001,E07000165,-0.5934015611062967,1.987669414239897
E07000168,0.6983572627799216,E07000168,-0.5921782248931752,1.9888927504530183
E07000155,0.6983867757942217,E07000155,-0.5921487118788751,1.9889222634673185
E07000142,0.7018911732034191,E07000142,-0.5886443144696777,1.9924266608765158
E07000079,0.730320931971233,E07000079,-0.5602145557018637,2.0208564196443297
W06000004,0.7347383742176603,W06000004,-0.5557971134554365,2.0252738618907573
E07000149,0.7628550635627844,E07000149,-0.5276804241103124,2.053390551235881
W06000009,0.8041729286433476,W06000009,-0.48636255902974923,2.094708416316444
E07000146,0.8064633147049985,E07000146,-0.48407217296809824,2.096998802378095
W06000010,0.8106602727223722,W06000010,-0.4798752149507246,2.101195760395469
E07000139,0.8112827885066665,E07000139,-0.4792526991664303,2.1018182761797632
E07000163,0.8137770878808316,E07000163,-0.4767583997922652,2.1043125755539283
E06000017,0.8211671504648682,E06000017,-0.46936833720822857,2.111702638137965
E06000019,0.8427330329604911,E06000019,-0.4478024547126057,2.133268520633588
E07000035,0.8549525315801273,E07000035,-0.4355829560929695,2.145488019253224
E07000203,0.8755311869285306,E07000203,-0.4150043007445662,2.1660666746016273
E07000151,0.9013188182100682,E07000151,-0.3892166694630286,2.191854305883165
E07000147,0.914497518344814,E07000147,-0.3760379693282828,2.205033006017911
E07000198,0.9211071062214152,E07000198,-0.36942838145168155,2.211642593894512
E06000051,0.9357245877201574,E06000051,-0.35481089995293935,2.226260075393254
W06000002,0.9680964277309032,W06000002,-0.3224390599421936,2.258631915404
E07000047,0.9951387049294516,E07000047,-0.2953967827436452,2.2856741926025483
E07000137,1.0224523942979733,E07000137,-0.2680830933751235,2.31298788197107
W06000001,1.0594690219869276,W06000001,-0.23106646568616918,2.3500045096600246
E07000028,1.0636086892543795,E07000028,-0.22692679841871732,2.354144176927476
E07000031,1.0689699900406122,E07000031,-0.22156549763248456,2.359505477713709
E06000053,1.0960681097922194,E06000053,-0.19446737788087742,2.3866035974653164
E07000029,1.1031433941383484,E07000029,-0.1873920935347484,2.393678881811445
W06000008,1.2618560297456611,W06000008,-0.028679457927435648,2.5523915174187577
E07000164,1.3091906380744478,E07000164,0.018655150401351017,2.5997261257475444
W06000023,1.3252377558838484,W06000023,0.03470226821075162,2.615773243556945
E07000026,1.366685790224809,E07000026,0.07615030255171229,2.657221277897906
E06000057,1.4199860443052406,E06000057,0.12945055663214378,2.7105215319783373
E07000166,1.8227798415801635,E07000166,0.5322443539070667,3.1133153292532603
E07000167,1.8467010979930063,E07000167,0.5561656103199095,3.137236585666103
E07000030,2.095889557237087,E07000030,0.80535406956399,3.3864250449101836
