,precision,recall,f1-score,support
Post-30s,0.5551645622024426,0.8828176431863067,0.6816622188333968,9114.0
Pre-30s,0.8094218415417559,0.4130019120458891,0.5469343461747151,10983.0
accuracy,0.6260635915808329,0.6260635915808329,0.6260635915808329,0.6260635915808329
macro avg,0.6822932018720993,0.6479097776160979,0.6142982825040559,20097.0
weighted avg,0.6941160325205835,0.6260635915808329,0.6080335068161653,20097.0
