cluster,n_total,n_miniroundabouts,n_raining,n_dark,n_dry,n_urban,n_slight
1,728.4812834224599,0.017614874427071353,0.11363973963450227,0.2825839744298681,0.7332140816528664,0.7885196347595965,0.778520591695111
2,479.2923076923077,0.010731765394279997,0.11363671064360588,0.258054892917395,0.7030211582541396,0.321029642706791,0.7031358558379889
3,229.9607843137255,0.007696497063800784,0.1826034411851855,0.29259524483477417,0.6107268087468414,0.3623895565129811,0.6221884547588259
