cluster1,cluster2,distance,sample_count
296.0,305.0,0.37364677981439787,2.0
130.0,140.0,0.4850493359910768,2.0
26.0,83.0,0.48863866078350626,2.0
168.0,222.0,0.4904341314957403,2.0
284.0,293.0,0.508108529047356,2.0
18.0,187.0,0.5085367075765003,2.0
174.0,205.0,0.52645223804214,2.0
103.0,201.0,0.539605466471743,2.0
217.0,242.0,0.5488613564219633,2.0
13.0,24.0,0.5597147621711255,2.0
256.0,264.0,0.5742423614290734,2.0
112.0,183.0,0.5858593342227565,2.0
131.0,213.0,0.5893279755953242,2.0
120.0,221.0,0.5900406598297546,2.0
126.0,161.0,0.6002688887686014,2.0
248.0,251.0,0.6035005509999205,2.0
182.0,185.0,0.6082995759870837,2.0
282.0,311.0,0.6086627464535301,2.0
65.0,155.0,0.6122813611461612,2.0
295.0,310.0,0.6135633053139521,2.0
20.0,340.0,0.6225034727359829,2.0
125.0,127.0,0.6253286607017576,2.0
113.0,138.0,0.6266300126811728,2.0
42.0,272.0,0.6345853531364095,2.0
167.0,228.0,0.6367261129632364,2.0
184.0,252.0,0.6400688681309755,2.0
75.0,177.0,0.6451101191185662,2.0
297.0,302.0,0.6596317081168744,2.0
1.0,116.0,0.6664612581465083,2.0
110.0,224.0,0.6703045827170192,2.0
77.0,171.0,0.6726132253392956,2.0
142.0,253.0,0.6772343555710022,2.0
186.0,254.0,0.6800571078270934,2.0
169.0,349.0,0.6830071311599113,2.0
301.0,307.0,0.6841607958929093,2.0
292.0,299.0,0.6860448278019319,2.0
109.0,156.0,0.6951358785079071,2.0
64.0,219.0,0.7011140888370522,2.0
363.0,365.0,0.7069505789026208,2.0
199.0,202.0,0.7156753756601566,2.0
5.0,134.0,0.7220657032494007,2.0
286.0,291.0,0.729884777920877,2.0
133.0,137.0,0.7319317990987285,2.0
80.0,376.0,0.7360582632704836,3.0
102.0,218.0,0.7400283158270319,2.0
162.0,226.0,0.7442597179200416,2.0
67.0,371.0,0.7457613248394429,3.0
244.0,247.0,0.7501242240643516,2.0
281.0,294.0,0.7582704830916308,2.0
190.0,268.0,0.7584794692004596,2.0
119.0,208.0,0.7604424395969273,2.0
290.0,298.0,0.7800377578070888,2.0
166.0,216.0,0.7945869777963478,2.0
0.0,3.0,0.8001715097311043,2.0
6.0,51.0,0.803876590913302,2.0
4.0,98.0,0.8058446236343813,2.0
66.0,413.0,0.8064569330561099,3.0
266.0,279.0,0.8076786442685397,2.0
94.0,373.0,0.8119368893929533,3.0
273.0,387.0,0.8211137614611459,3.0
207.0,346.0,0.8346527207535314,2.0
118.0,392.0,0.8368878550071049,3.0
17.0,40.0,0.8400634416436122,2.0
99.0,351.0,0.848057128032728,2.0
189.0,195.0,0.8514848370058564,2.0
71.0,323.0,0.8518178321635875,2.0
136.0,141.0,0.8520644954788953,2.0
37.0,38.0,0.8575990857787718,2.0
46.0,135.0,0.8589350978740659,2.0
79.0,82.0,0.8591683491943972,2.0
289.0,372.0,0.8601993947058347,3.0
164.0,165.0,0.8621181907064901,2.0
194.0,239.0,0.8649688425645613,2.0
146.0,348.0,0.8834399252336678,2.0
236.0,350.0,0.8844345819468866,2.0
100.0,380.0,0.8885947426296893,3.0
355.0,359.0,0.8974406355338197,2.0
59.0,211.0,0.9037334485535694,2.0
74.0,223.0,0.906591326779164,2.0
93.0,188.0,0.9091028321822635,2.0
43.0,92.0,0.9128913660308713,2.0
91.0,397.0,0.9177557551359417,3.0
70.0,157.0,0.9212878947203974,2.0
357.0,358.0,0.9252270651109673,2.0
214.0,418.0,0.925813306526386,3.0
304.0,309.0,0.9260992945743576,2.0
2.0,421.0,0.9378702297850935,3.0
276.0,278.0,0.9384613490279821,2.0
378.0,384.0,0.9398647313920805,4.0
45.0,55.0,0.9422241592303241,2.0
210.0,381.0,0.9454449644039743,3.0
139.0,257.0,0.9500449880130322,2.0
128.0,170.0,0.95191735381304,2.0
173.0,209.0,0.9594185598257523,2.0
391.0,417.0,0.9629765652833792,4.0
124.0,230.0,0.9650692444525437,2.0
237.0,238.0,0.9706504176775297,2.0
149.0,364.0,0.974412820255476,2.0
416.0,427.0,0.9765873152462663,5.0
270.0,403.0,0.9785735669900865,3.0
30.0,303.0,0.9826255995365726,2.0
147.0,215.0,0.9859834531093654,2.0
111.0,152.0,0.9921206939857145,2.0
33.0,234.0,0.9924136777495969,2.0
101.0,123.0,0.9930000106003896,2.0
78.0,163.0,0.9972602488689088,2.0
60.0,366.0,0.9984629743659655,2.0
197.0,198.0,0.9989262164634741,2.0
143.0,145.0,1.0026946513564714,2.0
34.0,389.0,1.0043743420090452,3.0
31.0,443.0,1.0053715890065773,4.0
321.0,327.0,1.0130595708354495,2.0
148.0,399.0,1.0248666435240121,3.0
258.0,335.0,1.035385363947274,2.0
283.0,308.0,1.0370439468450805,2.0
180.0,446.0,1.0394923946135042,3.0
44.0,47.0,1.0433578502898715,2.0
235.0,398.0,1.043376316381017,3.0
53.0,61.0,1.0455417175557042,2.0
263.0,425.0,1.047138601052328,3.0
85.0,86.0,1.0473021281868988,2.0
22.0,395.0,1.0487884723316403,3.0
249.0,383.0,1.0603034183762348,3.0
241.0,431.0,1.062664734755721,3.0
232.0,407.0,1.0649903132999377,3.0
36.0,206.0,1.0650857250384345,2.0
312.0,402.0,1.0678005530983776,3.0
287.0,438.0,1.0782157098901684,4.0
212.0,396.0,1.080291025445576,3.0
9.0,54.0,1.0905177773233532,2.0
394.0,439.0,1.0953975933275437,4.0
369.0,434.0,1.1010830485324716,4.0
8.0,393.0,1.102017426982223,3.0
353.0,429.0,1.107279785020107,4.0
97.0,181.0,1.1112078715004514,2.0
7.0,151.0,1.112556257648334,2.0
88.0,89.0,1.117499087107477,2.0
259.0,361.0,1.120711320613459,2.0
388.0,461.0,1.125415702674364,4.0
35.0,220.0,1.1279353211610803,2.0
11.0,306.0,1.1360800633069843,2.0
377.0,422.0,1.139440812150933,4.0
106.0,172.0,1.1553221370318971,2.0
338.0,342.0,1.167118345034878,2.0
84.0,122.0,1.1681268781950225,2.0
271.0,452.0,1.1692682323726222,4.0
352.0,354.0,1.1765351149041123,2.0
227.0,269.0,1.1823825989808905,2.0
21.0,132.0,1.1843696352260198,2.0
285.0,482.0,1.1964109728109111,3.0
19.0,460.0,1.2000230583664386,3.0
23.0,390.0,1.206711186291183,3.0
288.0,368.0,1.2169710259870175,3.0
192.0,193.0,1.2237836144852192,2.0
144.0,432.0,1.2243242594224546,3.0
129.0,250.0,1.2244805662531775,2.0
261.0,275.0,1.225441732291761,2.0
370.0,456.0,1.2299353610039268,6.0
386.0,458.0,1.238214634903371,5.0
57.0,58.0,1.2412342828795417,2.0
409.0,419.0,1.242557630369033,4.0
108.0,375.0,1.260318137999139,3.0
114.0,447.0,1.2646801862222858,3.0
12.0,191.0,1.271432441858037,2.0
63.0,245.0,1.2786354945884622,2.0
246.0,262.0,1.2843365696656728,2.0
196.0,499.0,1.2980938626234968,5.0
81.0,420.0,1.2985308571664913,3.0
32.0,459.0,1.305538894419711,3.0
96.0,448.0,1.3118081877809937,3.0
25.0,90.0,1.313999030601312,2.0
300.0,463.0,1.3194395492073943,3.0
73.0,445.0,1.3281817790230235,3.0
405.0,414.0,1.3317264684477006,5.0
69.0,318.0,1.3346393224482513,2.0
68.0,465.0,1.3353696192954765,3.0
489.0,520.0,1.3417606061328213,6.0
231.0,362.0,1.3585586456342476,2.0
28.0,62.0,1.3599887998004507,2.0
115.0,408.0,1.3614973940852755,3.0
15.0,41.0,1.3625235920926904,2.0
39.0,516.0,1.3672520821830214,3.0
179.0,428.0,1.3681301778986252,3.0
95.0,449.0,1.3752545876908728,4.0
225.0,521.0,1.3771525741883457,3.0
330.0,345.0,1.3835860655435759,2.0
379.0,437.0,1.386249504089546,4.0
29.0,76.0,1.4028642090291317,2.0
229.0,476.0,1.4361152844516347,3.0
315.0,404.0,1.4376757414189631,3.0
424.0,472.0,1.4409489908389663,5.0
441.0,505.0,1.4500233668462856,4.0
478.0,513.0,1.4589964388445273,8.0
325.0,341.0,1.4592100863162367,2.0
333.0,479.0,1.466641354384853,3.0
52.0,527.0,1.4737619692812174,3.0
442.0,491.0,1.4764880575442292,5.0
200.0,540.0,1.4770087518047348,4.0
400.0,415.0,1.479789848160113,4.0
158.0,159.0,1.4820695526920131,2.0
382.0,477.0,1.4843556184610696,5.0
426.0,501.0,1.498257275904795,7.0
468.0,508.0,1.5110401044532256,4.0
498.0,512.0,1.5183799560131137,6.0
412.0,469.0,1.5198870504079796,4.0
356.0,360.0,1.5344754753523984,2.0
117.0,265.0,1.5457962444750704,2.0
385.0,495.0,1.5484989766514494,6.0
411.0,530.0,1.5495448117923318,6.0
339.0,529.0,1.5594363656335501,4.0
329.0,343.0,1.5672254100128908,2.0
150.0,154.0,1.5758081675425704,2.0
105.0,522.0,1.5813047197151529,4.0
317.0,347.0,1.5819913272817847,2.0
509.0,519.0,1.587085301094491,7.0
